,abstract,author,date,journal,key,key_word,pages,provenance,score,title,unique_key
0,"  Technology-sustained pervasive games, contrary to technology-supported
pervasive games, can be understood as computer games interfacing with the
physical world. Pervasive games are known to make use of 'non-standard input
devices' and with the rise of the Internet of Things (IoT), pervasive
applications can be expected to move beyond games. This dissertation is
requirements- and development-focused Design Science research for distributed
technology-sustained pervasive applications, incorporating knowledge from the
domains of Distributed Computing, Mixed Reality, Context-Aware Computing,
Geographical Information Systems and IoT. Computer video games have existed for
decades, with a reusable game engine to drive them. If pervasive games can be
understood as computer games interfacing with the physical world, can computer
game engines be used to stage pervasive games? Considering the use of
non-standard input devices in pervasive games and the rise of IoT, how will
this affect the architectures supporting the broader set of pervasive
applications? The use of a game engine can be found in some existing pervasive
game projects, but general research into how the domain of pervasive games
overlaps with that of video games is lacking. When an engine is used, a
discussion of, what type of engine is most suitable and what properties are
being fulfilled by the engine, is often not part of the discourse. This
dissertation uses multiple iterations of the method framework for Design
Science for the design and development of three software system architectures.
In the face of IoT, the problem of extending pervasive games into a fourth
software architecture, accommodating a broader set of pervasive applications,
is explicated. The requirements, for technology-sustained pervasive games, are
verified through the design, development and demonstration of the three
software system architectures. The ...
",Kim J. L. Nevelsteen,2016,arXiv,Nevelsteen2016,,,arXiv,,Distributed Technology-Sustained Pervasive Applications,bf646daa9c7b6849be966a4364375dac
1,"  Based on the empirical analysis of the dependency network in 18 Java
projects, we develop a novel model of network growth which considers both: an
attachment mechanism and the addition of new nodes with a heterogeneous
distribution of their initial degree, $k_0$. Empirically we find that the
cumulative degree distributions of initial degrees and of the final network,
follow power-law behaviors: $P(k_{0}) \propto k_{0}^{1-\alpha}$, and
$P(k)\propto k^{1-\gamma}$, respectively. For the total number of links as a
function of the network size, we find empirically $K(N)\propto N^{\beta}$,
where $\beta$ is (at the beginning of the network evolution) between 1.25 and
2, while converging to $\sim 1$ for large $N$. This indicates a transition from
a growth regime with increasing network density towards a sustainable regime,
which revents a collapse because of ever increasing dependencies. Our
theoretical framework is able to predict relations between the exponents
$\alpha$, $\beta$, $\gamma$, which also link issues of software engineering and
developer activity. These relations are verified by means of computer
simulations and empirical investigations. They indicate that the growth of real
Open Source Software networks occurs on the edge between two regimes, which are
either dominated by the initial degree distribution of added nodes, or by the
preferential attachment mechanism. Hence, the heterogeneous degree distribution
of newly added nodes, found empirically, is essential to describe the laws of
sustainable growth in networks.
",Claudio J. Tessone,2010,arXiv,Tessone2010,,,arXiv,,Sustainable growth in complex networks,4db039564a9d824ded5545c905397241
2,"  Based on the empirical analysis of the dependency network in 18 Java
projects, we develop a novel model of network growth which considers both: an
attachment mechanism and the addition of new nodes with a heterogeneous
distribution of their initial degree, $k_0$. Empirically we find that the
cumulative degree distributions of initial degrees and of the final network,
follow power-law behaviors: $P(k_{0}) \propto k_{0}^{1-\alpha}$, and
$P(k)\propto k^{1-\gamma}$, respectively. For the total number of links as a
function of the network size, we find empirically $K(N)\propto N^{\beta}$,
where $\beta$ is (at the beginning of the network evolution) between 1.25 and
2, while converging to $\sim 1$ for large $N$. This indicates a transition from
a growth regime with increasing network density towards a sustainable regime,
which revents a collapse because of ever increasing dependencies. Our
theoretical framework is able to predict relations between the exponents
$\alpha$, $\beta$, $\gamma$, which also link issues of software engineering and
developer activity. These relations are verified by means of computer
simulations and empirical investigations. They indicate that the growth of real
Open Source Software networks occurs on the edge between two regimes, which are
either dominated by the initial degree distribution of added nodes, or by the
preferential attachment mechanism. Hence, the heterogeneous degree distribution
of newly added nodes, found empirically, is essential to describe the laws of
sustainable growth in networks.
",Markus M. Geipel,2010,arXiv,Tessone2010,,,arXiv,,Sustainable growth in complex networks,4db039564a9d824ded5545c905397241
3,"  Based on the empirical analysis of the dependency network in 18 Java
projects, we develop a novel model of network growth which considers both: an
attachment mechanism and the addition of new nodes with a heterogeneous
distribution of their initial degree, $k_0$. Empirically we find that the
cumulative degree distributions of initial degrees and of the final network,
follow power-law behaviors: $P(k_{0}) \propto k_{0}^{1-\alpha}$, and
$P(k)\propto k^{1-\gamma}$, respectively. For the total number of links as a
function of the network size, we find empirically $K(N)\propto N^{\beta}$,
where $\beta$ is (at the beginning of the network evolution) between 1.25 and
2, while converging to $\sim 1$ for large $N$. This indicates a transition from
a growth regime with increasing network density towards a sustainable regime,
which revents a collapse because of ever increasing dependencies. Our
theoretical framework is able to predict relations between the exponents
$\alpha$, $\beta$, $\gamma$, which also link issues of software engineering and
developer activity. These relations are verified by means of computer
simulations and empirical investigations. They indicate that the growth of real
Open Source Software networks occurs on the edge between two regimes, which are
either dominated by the initial degree distribution of added nodes, or by the
preferential attachment mechanism. Hence, the heterogeneous degree distribution
of newly added nodes, found empirically, is essential to describe the laws of
sustainable growth in networks.
",F. Schweitzer,2010,arXiv,Tessone2010,,,arXiv,,Sustainable growth in complex networks,4db039564a9d824ded5545c905397241
4,"  Currently, organizations are transforming their business processes into
e-services and service-oriented architectures to improve coordination across
sales, marketing, and partner channels, to build flexible and scalable systems,
and to reduce integration-related maintenance and development costs. However,
this new paradigm is still fragile and lacks many features crucial for building
sustainable and progressive computing infrastructures able to rapidly respond
and adapt to the always-changing market and environmental business. This paper
proposes a novel framework for building sustainable Ecosystem- Oriented
Architectures (EOA) using e-service models. The backbone of this framework is
an ecosystem layer comprising several computing units whose aim is to deliver
universal interoperability, transparent communication, automated management,
self-integration, self-adaptation, and security to all the interconnected
services, components, and devices in the ecosystem. Overall, the proposed model
seeks to deliver a comprehensive and a generic sustainable business IT model
for developing agile e-enterprises that are constantly up to new business
constraints, trends, and requirements. Future research can improve upon the
proposed model so much so that it supports computational intelligence to help
in decision making and problem solving.
",Youssef Bassil,2012,"International Journal in Foundations of Computer Science &
  Technology,Vol. 2, No.1, January 2012, pg. 1-13",Bassil2012,,,arXiv,,Building sustainable ecosystem-oriented architectures,bfcfcefb1a33bfa881279512192b0e3b
5,"  Scientific software applications are increasingly developed by large
interdiscplinary teams operating on functional modules organized around a
common software framework, which is capable of integrating new functional
capabilities without modifying the core of the framework. In such environment,
software correctness and modularity take precedence at the expense of code
performance, which is an important concern during execution on supercomputing
facilities, where the allocation of core-hours is a valuable resource. To
alleviate the performance problems, we propose automated performance tuning
(autotuning) of software to extract the maximum performance on a given hardware
platform and to enable performance portability across heterogeneous hardware
platforms. The resulting code remains generic without committing to a
particular software stack and yet is compile-time specializable for maximal
sustained performance.
",Azamat Mametjanov,2013,arXiv,Mametjanov2013,,,arXiv,,Software Autotuning for Sustainable Performance Portability,b3ad84ae8502360104e6317bc5c969ac
6,"  Scientific software applications are increasingly developed by large
interdiscplinary teams operating on functional modules organized around a
common software framework, which is capable of integrating new functional
capabilities without modifying the core of the framework. In such environment,
software correctness and modularity take precedence at the expense of code
performance, which is an important concern during execution on supercomputing
facilities, where the allocation of core-hours is a valuable resource. To
alleviate the performance problems, we propose automated performance tuning
(autotuning) of software to extract the maximum performance on a given hardware
platform and to enable performance portability across heterogeneous hardware
platforms. The resulting code remains generic without committing to a
particular software stack and yet is compile-time specializable for maximal
sustained performance.
",Boyana Norris,2013,arXiv,Mametjanov2013,,,arXiv,,Software Autotuning for Sustainable Performance Portability,b3ad84ae8502360104e6317bc5c969ac
7,"  The necessity to adapt current products and services into a way of working
environmentally friendly is already a social and economic demand. Although the
GreenIT can be considered a mature discipline, software sustainability, both in
its process and its use, has not begun to be a topic of interest until the last
few years. In this sense we think is fundamental to define what we consider
that is software sustainability and how to evaluate it properly.
",Coral Calero,2013,arXiv,Calero2013,,,arXiv,,Towards a Software Product Sustainability Model,6d84ee0b4ee5e41b650a98edf0061c7c
8,"  The necessity to adapt current products and services into a way of working
environmentally friendly is already a social and economic demand. Although the
GreenIT can be considered a mature discipline, software sustainability, both in
its process and its use, has not begun to be a topic of interest until the last
few years. In this sense we think is fundamental to define what we consider
that is software sustainability and how to evaluate it properly.
",M. Angeles Moraga,2013,arXiv,Calero2013,,,arXiv,,Towards a Software Product Sustainability Model,6d84ee0b4ee5e41b650a98edf0061c7c
9,"  The necessity to adapt current products and services into a way of working
environmentally friendly is already a social and economic demand. Although the
GreenIT can be considered a mature discipline, software sustainability, both in
its process and its use, has not begun to be a topic of interest until the last
few years. In this sense we think is fundamental to define what we consider
that is software sustainability and how to evaluate it properly.
",Manuel F. Bertoa,2013,arXiv,Calero2013,,,arXiv,,Towards a Software Product Sustainability Model,6d84ee0b4ee5e41b650a98edf0061c7c
